Part No,Storage Space,Mfr,Desc,Package,Series,Freq,Memory,Amount,Delivery Date,Owner,No Stock,Deliver,File
771-FS32K148UAT0VLQT,CSB3101,NXP Semiconductors,MCU S32K148 144 LQFP,LQFP-144,S32K1xx,112 MHz,2 MB,6,2018/3/18,Vicent.Cheng,http,https://www.mouser.tw/advantech/featured-products/,ia_200003498.png
634-JG12B500FGM48C,CSB3101,Silicon Labs,MCU ARM Cortex-M3,QFN-48,EFM32JG12,40 MHz ,1024 kB,20,2018/2/25,Thomas.Chen,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003499.png
579-ATSAML11E14A-AUT,CSB3104,Microchip Technology,ARM Cortex-M23,TQFP-32,ATSAML11,32 MHz,16 kB,100,2018/5/4,Aaron.Gua,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003504.png
771-FS32K146HNT0VLLT,CSB3105,NXP Semiconductors,MCU S32K144 32-bit ,LQFP-100,S32K1xx,80 MHz,1 MB,30,2018/4/16,Oscar.Huang,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003509.png
771-FS32K146HNT0VLLV,CSB3201,NXP Semiconductors,MCU S32K144 32-bit ,LQFP-100,S32K1xx,80 MHz,1 MB,30,2018/4/16,Oscar.Huang,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003514.png
771-FS32K146HNT0VLLGG,CSB3202,NXP Semiconductors,MCU S32K144 32-bit ,LQFP-100,S32K1xx,80 MHz,1 MB,30,2018/4/16,Oscar.Huang,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003522.png
772-FS32K146HNT0VLLGG,CSB3304,NXP Semiconductors,MCU S32K144 32-bit ,LQFP-100,S32K1xx,80 MHz,1 MB,30,2018/4/16,Oscar.Huang,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003524.png
773-FS32K146HNT0VLLGG,CSB3305,NXP Semiconductors,MCU S32K144 32-bit ,LQFP-100,S32K1xx,80 MHz,1 MB,30,2018/4/16,Oscar.Huang,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003527.png
774-FS32K146HNT0VLLGG,CSB3401,NXP Semiconductors,MCU S32K144 32-bit ,LQFP-100,S32K1xx,80 MHz,1 MB,30,2018/4/16,Oscar.Huang,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003531.png
775-FS32K146HNT0VLLGG,CSB3402,NXP Semiconductors,MCU S32K144 32-bit ,LQFP-100,S32K1xx,80 MHz,1 MB,30,2018/4/16,Oscar.Huang,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003535.png
776-FS32K146HNT0VLLGG,CSB3403,NXP Semiconductors,MCU S32K144 32-bit ,LQFP-100,S32K1xx,80 MHz,1 MB,30,2018/4/16,Oscar.Huang,https://www.mouser.tw/advantech/product-line/,https://www.mouser.tw/advantech/featured-products/,ia_200003536.png
